,conf_type,value,filename
183,FP,12.790999999999976,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-9
184,TN,19.874999999999968,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-9
185,TP,16.665000000000024,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-9
186,FN,1.260999999999946,2007_Strelka_Andreev_LR3-2-10
187,FP,31.04340000000002,2007_Strelka_Andreev_LR3-2-10
188,TN,21.569000000000074,2007_Strelka_Andreev_LR3-2-10
189,TP,6.126999999999963,2007_Strelka_Andreev_LR3-2-10
190,FN,1.0760000000000112,2007_Chirinda_Eldogir_Valentina_FSk7-0-1
191,FP,29.420699999999986,2007_Chirinda_Eldogir_Valentina_FSk7-0-1
192,TN,16.97,2007_Chirinda_Eldogir_Valentina_FSk7-0-1
193,TP,12.544000000000004,2007_Chirinda_Eldogir_Valentina_FSk7-0-1
194,FN,1.4440000000000097,2007_Chirinda_Eldogir_Valentina_FM8-0-1
195,FP,27.80799999999999,2007_Chirinda_Eldogir_Valentina_FM8-0-1
196,TN,18.325999999999997,2007_Chirinda_Eldogir_Valentina_FM8-0-1
197,TP,11.844000000000001,2007_Chirinda_Eldogir_Valentina_FM8-0-1
198,FN,4.597000000000058,2007_Strelka_Andreev_LR3-2-7
199,FP,12.485999999999972,2007_Strelka_Andreev_LR3-2-7
200,TN,32.77299999999995,2007_Strelka_Andreev_LR3-2-7
201,TP,9.854000000000017,2007_Strelka_Andreev_LR3-2-7
202,FN,2.1580000000000545,2007_Strelka_Andreev_LR3-0-13
203,FP,21.690400000000054,2007_Strelka_Andreev_LR3-0-13
204,TN,19.891999999999932,2007_Strelka_Andreev_LR3-0-13
205,TP,16.259999999999962,2007_Strelka_Andreev_LR3-0-13
206,FN,1.6589999999999918,2007_Chirinda_Eldogir_Valentina_FM10-1-5
207,FP,31.444000000000003,2007_Chirinda_Eldogir_Valentina_FM10-1-5
208,TN,12.511,2007_Chirinda_Eldogir_Valentina_FM10-1-5
209,TP,14.000000000000004,2007_Chirinda_Eldogir_Valentina_FM10-1-5
210,FN,1.2399999999999842,2007_Chirinda_Eldogir_Valentina_FSk7-1-3
211,FP,31.84699999999998,2007_Chirinda_Eldogir_Valentina_FSk7-1-3
212,TN,14.366000000000035,2007_Chirinda_Eldogir_Valentina_FSk7-1-3
213,TP,11.392999999999997,2007_Chirinda_Eldogir_Valentina_FSk7-1-3
214,FN,0.3559999999999981,Telyopka-1-1
215,FP,17.592200000000005,Telyopka-1-1
216,TN,4.098000000000001,Telyopka-1-1
217,TP,7.953999999999997,Telyopka-1-1
218,FN,1.8599999999999994,2007_Chirinda_Eldogir_Valentina_FM4-0-7
219,FP,30.98040000000003,2007_Chirinda_Eldogir_Valentina_FM4-0-7
220,TN,12.905999999999993,2007_Chirinda_Eldogir_Valentina_FM4-0-7
221,TP,14.253999999999976,2007_Chirinda_Eldogir_Valentina_FM4-0-7
222,FN,9.506000000000002,Parents-0-0
223,FP,3.405999999999999,Parents-0-0
224,TN,5.143999999999998,Parents-0-0
225,TP,11.959999999999999,Parents-0-0
226,FN,6.4549999999999885,2007_Chirinda_Eldogir_Valentina_FSk2-0-0
227,FP,16.075400000000002,2007_Chirinda_Eldogir_Valentina_FSk2-0-0
228,TN,7.730999999999995,2007_Chirinda_Eldogir_Valentina_FSk2-0-0
229,TP,29.73900000000001,2007_Chirinda_Eldogir_Valentina_FSk2-0-0
230,FN,0.0329999999999977,Walk-2-1
231,FP,20.654200000000003,Walk-2-1
232,TN,6.264999999999997,Walk-2-1
233,TP,3.048000000000002,Walk-2-1
234,FN,3.989999999999881,2007_Strelka_Andreev_LR3-1-10
235,FP,27.86739999999996,2007_Strelka_Andreev_LR3-1-10
236,TN,19.044000000000104,2007_Strelka_Andreev_LR3-1-10
237,TP,9.099000000000057,2007_Strelka_Andreev_LR3-1-10
238,FN,0.5890000000000093,2005_Poligus_Khadonchina_LR2-2-2
239,FP,38.479399999999984,2005_Poligus_Khadonchina_LR2-2-2
240,TN,8.812999999999992,2005_Poligus_Khadonchina_LR2-2-2
241,TP,12.119000000000018,2005_Poligus_Khadonchina_LR2-2-2
242,FN,2.5949999999999775,2008_Tutonchany_Uvachan_Inna_LAv2-2-6
243,FP,27.797399999999982,2008_Tutonchany_Uvachan_Inna_LAv2-2-6
244,TN,9.207000000000017,2008_Tutonchany_Uvachan_Inna_LAv2-2-6
245,TP,20.401000000000025,2008_Tutonchany_Uvachan_Inna_LAv2-2-6
246,FN,3.2600000000000087,2007_Chirinda_Eldogir_Valentina_FM7-1-1
247,FP,33.57840000000001,2007_Chirinda_Eldogir_Valentina_FM7-1-1
248,TN,9.133999999999983,2007_Chirinda_Eldogir_Valentina_FM7-1-1
249,TP,14.027999999999999,2007_Chirinda_Eldogir_Valentina_FM7-1-1
250,FN,2.738999999999983,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-5
251,FP,26.49600000000002,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-5
252,TN,16.97100000000002,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-5
253,TP,13.183999999999976,2011_Potapovo_Bogdanova_TamaraAndreevna_FM1-0-5
254,FN,2.283000000000019,2007_Chirinda_Eldogir_Valentina_FSk8-2-0
255,FP,24.892399999999984,2007_Chirinda_Eldogir_Valentina_FSk8-2-0
256,TN,17.69499999999999,2007_Chirinda_Eldogir_Valentina_FSk8-2-0
257,TP,15.130000000000006,2007_Chirinda_Eldogir_Valentina_FSk8-2-0
258,FN,1.6739999999999995,2008_Tutonchany_Khukochar_Maksim_LR-2-1
259,FP,12.794399999999996,2008_Tutonchany_Khukochar_Maksim_LR-2-1
260,TN,45.056000000000004,2008_Tutonchany_Khukochar_Maksim_LR-2-1
261,TP,0.4759999999999991,2008_Tutonchany_Khukochar_Maksim_LR-2-1
262,FN,1.7070000000000256,2005_Poligus_Khadonchina_LR1-2-3
263,FP,43.140400000000014,2005_Poligus_Khadonchina_LR1-2-3
264,TN,6.178999999999974,2005_Poligus_Khadonchina_LR1-2-3
265,TP,8.97399999999999,2005_Poligus_Khadonchina_LR1-2-3
266,FN,2.107999999999965,2007_Chirinda_Eldogir_Valentina_FSk8-1-9
267,FP,36.82639999999998,2007_Chirinda_Eldogir_Valentina_FSk8-1-9
268,TN,5.062000000000036,2007_Chirinda_Eldogir_Valentina_FSk8-1-9
269,TP,16.00400000000002,2007_Chirinda_Eldogir_Valentina_FSk8-1-9
270,FN,4.848000000000027,2007_Chirinda_Eldogir_Valentina_FSk9-2-3
271,FP,24.452399999999994,2007_Chirinda_Eldogir_Valentina_FSk9-2-3
272,TN,15.381999999999964,2007_Chirinda_Eldogir_Valentina_FSk9-2-3
273,TP,15.318000000000012,2007_Chirinda_Eldogir_Valentina_FSk9-2-3
274,FN,6.3319999999999865,2007_Ekonda_Kombagir_Anton_LAv-0-2
275,FP,17.14,2007_Ekonda_Kombagir_Anton_LAv-0-2
276,TN,21.910000000000018,2007_Ekonda_Kombagir_Anton_LAv-0-2
277,TP,13.687999999999999,2007_Ekonda_Kombagir_Anton_LAv-0-2
278,FN,5.618000000000013,2008_Kislokan_Udygir_Valentina_FM-1-1
279,FP,18.336000000000013,2008_Kislokan_Udygir_Valentina_FM-1-1
280,TN,26.75599999999998,2008_Kislokan_Udygir_Valentina_FM-1-1
281,TP,8.615999999999996,2008_Kislokan_Udygir_Valentina_FM-1-1
282,FN,0.30600000000003647,2007_Chirinda_Eldogir_Valentina_FSk7-0-6
283,FP,33.51369999999998,2007_Chirinda_Eldogir_Valentina_FSk7-0-6
284,TN,7.583999999999962,2007_Chirinda_Eldogir_Valentina_FSk7-0-6
285,TP,18.607000000000024,2007_Chirinda_Eldogir_Valentina_FSk7-0-6
286,FP,42.210400000000035,2007_Ekonda_Khutokogir_Grigoriy_LAv-2-2
287,TN,4.489999999999997,2007_Ekonda_Khutokogir_Grigoriy_LAv-2-2
288,TP,13.299999999999969,2007_Ekonda_Khutokogir_Grigoriy_LAv-2-2
289,FN,2.775000000000013,2007_Chirinda_Eldogir_Valentina_FSk10-1-3
290,FP,33.806400000000004,2007_Chirinda_Eldogir_Valentina_FSk10-1-3
291,TN,11.926999999999982,2007_Chirinda_Eldogir_Valentina_FSk10-1-3
292,TP,11.492,2007_Chirinda_Eldogir_Valentina_FSk10-1-3
293,FN,0.8339999999999961,2008_Tutonchany_Bondareva_LR1-2-1
294,FP,33.50140000000005,2008_Tutonchany_Bondareva_LR1-2-1
295,TN,12.023999999999987,2008_Tutonchany_Bondareva_LR1-2-1
296,TP,13.640999999999973,2008_Tutonchany_Bondareva_LR1-2-1
297,FN,3.7479999999999905,2007_Chirinda_Eldogir_Valentina_FM7-1-0
298,FP,25.179400000000008,2007_Chirinda_Eldogir_Valentina_FM7-1-0
299,TN,15.429999999999993,2007_Chirinda_Eldogir_Valentina_FM7-1-0
300,TP,15.643000000000008,2007_Chirinda_Eldogir_Valentina_FM7-1-0
301,FP,39.30799999999995,2007_Chirinda_Eldogir_Valentina_FSk6-2-5
302,TN,0.681999999999996,2007_Chirinda_Eldogir_Valentina_FSk6-2-5
303,TP,17.03200000000005,2007_Chirinda_Eldogir_Valentina_FSk6-2-5
304,FN,2.1979999999999507,2007_Strelka_Andreev_LR1-0-5
305,FP,22.900399999999934,2007_Strelka_Andreev_LR1-0-5
306,TN,24.84000000000004,2007_Strelka_Andreev_LR1-0-5
307,TP,10.062000000000076,2007_Strelka_Andreev_LR1-0-5
308,FP,8.240000000000002,Faces-1-0
309,TN,3.9539999999999997,Faces-1-0
310,TP,2.459999999999999,Faces-1-0
311,FN,9.028999999999996,2007_Strelka_Andreeva_LR3-1-8
312,FP,15.982999999999958,2007_Strelka_Andreeva_LR3-1-8
313,TN,6.457999999999957,2007_Strelka_Andreeva_LR3-1-8
314,TP,11.08500000000004,2007_Strelka_Andreeva_LR3-1-8
315,FN,7.347999999999992,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-21
316,FP,22.930000000000007,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-21
317,TN,13.253999999999998,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-21
318,TP,14.258000000000003,2010_Bely_Yar_Ivigin_Vladimir_LR1-0-21
319,FN,0.4519999999999964,Larvae-2-0
320,FP,17.706199999999995,Larvae-2-0
321,TN,4.453999999999999,Larvae-2-0
322,TP,7.388000000000009,Larvae-2-0
323,FN,4.611000000000004,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-7
324,FP,31.30839999999994,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-7
325,TN,12.818999999999999,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-7
326,TP,11.262000000000057,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-7
327,FN,0.12499999999999645,2007_Chirinda_Eldogir_Valentina_FSk8-1-7
328,FP,34.64339999999996,2007_Chirinda_Eldogir_Valentina_FSk8-1-7
329,TN,11.729000000000003,2007_Chirinda_Eldogir_Valentina_FSk8-1-7
330,TP,13.50300000000004,2007_Chirinda_Eldogir_Valentina_FSk8-1-7
331,FN,4.778000000000004,Vacation-1-1
332,FP,10.595999999999988,Vacation-1-1
333,TN,5.5600000000000005,Vacation-1-1
334,TP,9.082000000000006,Vacation-1-1
335,FN,0.923000000000016,2008_Tutonchany_Uvachan_Inna_LAv1-1-4
336,FP,33.08740000000001,2008_Tutonchany_Uvachan_Inna_LAv1-1-4
337,TN,11.862999999999982,2008_Tutonchany_Uvachan_Inna_LAv1-1-4
338,TP,14.126999999999992,2008_Tutonchany_Uvachan_Inna_LAv1-1-4
339,FN,1.880000000000038,2007_Chirinda_Eldogir_Valentina_LR1-1-10
340,FP,22.648400000000116,2007_Chirinda_Eldogir_Valentina_LR1-1-10
341,TN,16.261999999999958,2007_Chirinda_Eldogir_Valentina_LR1-1-10
342,TP,19.20999999999989,2007_Chirinda_Eldogir_Valentina_LR1-1-10
343,FN,0.4619999999999891,2007_Chirinda_Eldogir_Valentina_LR2-2-5
344,FP,33.27639999999998,2007_Chirinda_Eldogir_Valentina_LR2-2-5
345,TN,13.844000000000019,2007_Chirinda_Eldogir_Valentina_LR2-2-5
346,TP,12.41800000000001,2007_Chirinda_Eldogir_Valentina_LR2-2-5
347,FN,2.7950000000000017,2008_Tutonchany_Lapushkina_LA2-2-1
348,FP,20.25699999999999,2008_Tutonchany_Lapushkina_LA2-2-1
349,TN,22.286999999999995,2008_Tutonchany_Lapushkina_LA2-2-1
350,TP,9.091000000000012,2008_Tutonchany_Lapushkina_LA2-2-1
351,FN,1.134000000000004,Kettle-2-0
352,FP,11.266,Kettle-2-0
353,TN,9.299999999999997,Kettle-2-0
354,TP,8.315999999999997,Kettle-2-0
355,FN,1.7069999999999865,2008_Tutonchany_Uvachan_Inna_LAv2-1-3
356,FP,34.6894,2008_Tutonchany_Uvachan_Inna_LAv2-1-3
357,TN,8.223000000000003,2008_Tutonchany_Uvachan_Inna_LAv2-1-3
358,TP,15.38100000000001,2008_Tutonchany_Uvachan_Inna_LAv2-1-3
359,FP,36.09040000000005,2007_Chirinda_Eldogir_Valentina_LR1-0-9
360,TN,9.849999999999998,2007_Chirinda_Eldogir_Valentina_LR1-0-9
361,TP,14.059999999999949,2007_Chirinda_Eldogir_Valentina_LR1-0-9
362,FN,14.872000000000003,2008_Tura_Lapuko_LR3-2-5
